taxa	FHBZEA	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK	BLSSEV	HSATIVLSEV
20SGH003259	0	0	0	0	130	57	0	0
20SGH003266	NA	NA	1.444444444	83.33333333	120	73	0	0
20SGH003272	0	3.5	0.95	65	115	69	40	2
20SGH003276	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003277	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003280	NA	NA	0	0	65	39	0	2
20SGH003292	NA	NA	0	0	75	47	10	30
20SGH003293	NA	NA	NA	NA	50	55	NA	NA
20SGH003304	1.9	2.7	0.625	25	100	71	20	20
20SGH003310	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003332	0	11.2	2.368421053	73.68421053	130	71	2	2
20SGH003339	0.2	4.5	3.85	100	130	71	5	20
20SGH003347	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003350	0	5.7	0	0	120	59	0	2
20SGH003359	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003360	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003369	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003370	0.3	6.8	3.55	100	110	69	2	10
20SGH003379	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003396	0	3.5	1.5	50	100	61	10	5
20SGH003410	NA	NA	NA	NA	NA	53	NA	NA
20SGH003412	NA	NA	0	0	70	59	2	2
20SGH003420	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003432	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003443	0	2.9	0.923076923	46.15384615	110	69	20	30
20SGH003453	0	9	2.5	100	110	69	20	20
20SGH003461	0.2	7.4	3.75	100	135	73	20	5
20SGH003465	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003473	0.5	2.5	1.9	90	120	69	30	10
20SGH003501	0.2	16.5	2.428571429	92.85714286	115	69	30	10
20SGH003506	0	0.4	0.222222222	22.22222222	130	69	2	2
20SGH003515	0	0	0.2	20	100	57	5	2
20SGH003536	0	3.1	2.7	100	140	71	10	0
20SGH003551	0	2.4	3	100	140	69	20	5
20SGH003563	0	6.2	1.5	66.66666667	110	69	2	10
20SGH003584	0	6.4	1.615384615	61.53846154	75	69	10	5
20SGH003587	NA	NA	0	0	85	59	NA	NA
20SGH003592	0	3.5	1.4	65	100	71	5	5
20SGH003620	0	3.9	1.7	90	120	69	0	60
20SGH003623	0.5	3.4	1.75	75	120	69	40	40
20SGH003638	0	24.4	3.7	95	135	69	50	10
20SGH003693	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003694	0	1.2	2.05	75	NA	69	20	2
20SGH003696	NA	NA	0	0	85	45	2	0
20SGH003703	0	6.5	1.176470588	76.47058824	105	61	10	30
20SGH003729	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003738	0.3	1.3	0.65	55	110	71	30	20
20SGH003748	0	2.3	3.727272727	100	110	71	20	10
20SGH003751	NA	NA	0	0	65	39	0	20
20SGH003769	NA	NA	NA	NA	NA	69	NA	NA
20SGH003788	0.1	6.5	3.4	100	120	71	70	5
20SGH003799	0	2.8	1.210526316	57.89473684	95	69	10	10
20SGH003811	0	1.6	1.05	65	100	69	20	10
20SGH003817	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003820	0	3.8	1.15	70	105	69	2	2
20SGH003825	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003827	0	0.4	1.090909091	54.54545455	75	61	5	2
20SGH003829	1.5	37.1	2.75	100	125	69	10	0
20SGH003830	NA	NA	3.666666667	100	110	69	0	5
20SGH003837	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003851	0	16.3	2.85	100	135	71	20	10
20SGH003854	0.5	11.4	2.8	100	130	69	30	10
20SGH003862	0	12.8	2.35	100	140	69	5	10
20SGH003868	NA	NA	1.666666667	66.66666667	120	69	10	20
20SGH003897	0	3	1.75	80	130	71	5	10
20SGH003902	0	2.5	1.15	60	110	69	10	2
20SGH003910	0	1.1	1.15	65	125	69	20	5
20SGH003920	0.4	8.3	2.45	95	115	69	10	5
20SGH003947	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003977	NA	NA	NA	NA	NA	NA	NA	NA
