taxa	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK	GLBLSEV	BLSSEV	HSATIVLSEV
20SGH001287	0.9	1.05	60	116	65	0	5	20
20SGH003866	2.2	1.25	83.3333333	65	57	0	20	0
20SGH002999	4.8	1.36842105	78.9473684	101	65	0	30	10
20SGH003595	3.5	1.06666667	66.6666667	90	65	0	20	0
20SGH000105	1.6	1.4	95	84	65	0	2	2
20SGH002810	2.7	1.1	60	119	69	5	30	20
20SGH001268	3.7	1.1	55	115	65	2	5	20
20SGH002956	0.6	1.44444444	66.6666667	108	69	0	10	5
20SGH003578	3.3	1.625	93.75	81	57	0	0	30
20SGH003351	1.8	1.73333333	86.6666667	110	69	0	0	0
20SGH000219	0.3	2.05	90	98	69	2	20	2
20SGH000654	2.5	1.46666667	66.6666667	121	65	0	20	20
20SGH000130	1.3	1.85	80	129	65	0	10	20
20SGH002691	0.4	1.25	75	141	65	0	10	20
20SGH003831	4.4	1.55	70	128	65	2	40	10
20SGH001667	0.8	1.1	60	119	65	5	10	5
20SGH003739	15.4	1.11764706	70.5882353	108	57	0	2	5
20SGH001225	0.9	1.5	90	110	65	0	20	20
20SGH000626	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003329	1.4	0.72222222	50	106	69	0	10	5
20SGH002223	NA	NA	NA	NA	NA	NA	NA	NA
20SGH001509	1.4	1.3	65	100	61	0	20	0
20SGH002904	0.8	0.8	60	122	65	20	10	20
20SGH000099	3.8	1.15789474	78.9473684	70	57	0	2	0
20SGH003019	0.9	0.71428571	42.8571429	64	55	0	0	5
20SGH000668	0.7	1	53.3333333	99	65	0	0	40
20SGH003386	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003389	1	1.5	80	113	69	0	5	2
20SGH001734	0.5	1.15	75	96	61	0	10	2
20SGH001177	10.1	1.61538462	84.6153846	91	61	0	20	5
20SGH002173	17.1	1.2	60	113	69	0	2	20
20SGH002963	3.7	1.15	70	91	69	0	5	10
20SGH003409	4.3	1.42105263	73.6842105	94	65	0	10	5
20SGH001885	4.8	1.625	75	90	65	0	20	5
20SGH003598	2.6	1.64285714	78.5714286	96	61	0	5	2
20SGH000429	2.5	1.7	85	130	69	0	30	2
20SGH003667	10.7	1.35	70	121	61	0	10	0
20SGH001893	1.4	1.16666667	72.2222222	90	69	0	10	0
20SGH000150	4.1	1.75	70	114	69	2	20	5
20SGH001223	3.6	1.42105263	84.2105263	100	61	0	2	10
20SGH003985	4	NA	NA	86	57	0	20	2
20SGH003794	4.4	0.94736842	57.8947368	99	65	0	20	20
