phenotype_year	plant_id	Cycle	Site	Time	serpentine	FHBDON	FHBZEA
2022	20SGH002234	C10	OLA	5	90	16.4	0.5
2022	19SGH001829	C10	OLA	5	91	0	0
2022	20SGH000933	C10	OLA	5	92	13.6	0.5
2022	20SGH000938	C10	OLA	5	93	5.6	0
2022	20SGH001174	C10	OLA	5	94	4.1	0
2022	20SGH002341	C10	OLA	5	96	7.2	0.1
2022	20SGH003799	C10	OLA	5	97	2.8	0
2022	19SGH001829	C10	OLA	5	98	3.7	0
2022	20SGH000333	C10	OLA	5	99	16	0.6
2022	20SGH003332	C10	OLA	5	100	11.2	0
2022	20SGH002170	C10	OLA	5	101	5.3	0.3
2022	20SGH002305	C10	OLA	5	103	5.1	0
2022	20SGH002428	C10	OLA	5	104	8.6	0
2022	20SGH001456	C10	OLA	5	105	10.6	0
2022	20SGH002509	C10	OLA	5	106	8.1	0
2022	NA	C10	OLA	5	107	3.3	0
2022	20SGH002272	C10	OLA	5	109	0.6	0
2022	20SGH000285	C10	OLA	5	111	1.7	0
2022	20SGH002847	C10	OLA	5	112	2.9	0
2022	20SGH002745	C10	OLA	5	113	8.5	0
2022	20SGH000930	C10	OLA	5	115	3.6	0.4
2022	NA	C10	OLA	5	116	22	1.3
2022	20SGH002471	C10	OLA	5	119	4.5	0.1
2022	20SGH002442	C10	OLA	5	120	0.2	0
2022	20SGH003788	C10	OLA	5	121	6.5	0.1
2022	20SGH003240	C10	OLA	5	122	10.9	1.5
2022	20SGH001556	C10	OLA	5	123	7.6	0
2022	20SGH000299	C10	OLA	5	124	13.5	0
2022	20SGH002373	C10	OLA	5	125	9.3	0
2022	20SGH001359	C10	OLA	5	126	9.9	0
2022	19SGH002587	C10	OLA	5	127	4.3	0
2022	20SGH003443	C10	OLA	5	129	2.9	0
2022	NA	C10	OLA	5	130	8.8	0
2022	20SGH000979	C10	OLA	5	131	3.3	0
2022	20SGH000027	C10	OLA	5	133	11.4	2.5
2022	20SGH001387	C10	OLA	5	134	3.4	0
2022	20SGH001923	C10	OLA	5	138	0	0
2022	20SGH000897	C10	OLA	5	140	0	0
2022	20SGH001332	C10	OLA	5	142	2.1	0.3
2022	19SGH002587	C10	OLA	5	143	0.6	0
2022	20SGH003259	C10	OLA	5	144	0	0
2022	NA	C10	OLA	5	145	5.4	0.3
2022	20SGH002262	C10	OLA	5	146	0.5	0
2022	20SGH000061	C10	OLA	5	147	1.7	0
2022	20SGH000090	C10	OLA	5	148	2	0
2022	20SGH003272	C10	OLA	5	149	3.5	0
2022	20SGH001899	C10	OLA	5	153	0.9	0
2022	20SGH002109	C10	OLA	5	154	1.2	0
2022	NA	C10	OLA	5	156	21.8	0.8
2022	20SGH002903	C10	OLA	5	158	9.3	0.4
2022	20SGH002057	C10	OLA	5	159	10.9	0.6
2022	20SGH000239	C10	OLA	5	160	7.5	0
2022	20SGH001906	C10	OLA	5	161	2.5	0
2022	20SGH001943	C10	OLA	5	163	1.9	0
2022	20SGH003703	C10	OLA	5	165	6.5	0
2022	NA	C10	OLA	5	166	5.8	0.3
2022	20SGH000667	C10	OLA	5	167	1.5	0
2022	20SGH001382	C10	OLA	5	168	10	0
2022	20SGH002660	C10	OLA	5	169	20.2	0.5
2022	NA	C10	OLA	5	170	16	0.4
2022	20SGH001727	C10	OLA	5	171	18.9	0.9
2022	20SGH002171	C10	OLA	5	172	3.8	0.9
2022	20SGH003551	C10	OLA	5	173	2.4	0
2022	20SGH003620	C10	OLA	5	174	3.9	0
2022	NA	C10	OLA	5	175	20.1	1.7
2022	20SGH001101	C10	OLA	5	176	4.9	0
2022	19SGH002633	C10	OLA	5	177	3	0.5
2022	20SGH001974	C10	OLA	5	178	8.3	0.3
2022	20SGH000031	C10	OLA	5	179	24.8	0.9
2022	20SGH001622	C10	OLA	5	180	3.8	0
2022	20SGH002013	C10	OLA	5	181	2.1	0.1
2022	20SGH000811	C10	OLA	5	182	21.6	3.9
2022	20SGH000057	C10	OLA	5	183	9.6	0.4
2022	NA	C10	OLA	5	185	34.7	2.7
2022	20SGH002563	C10	OLA	5	186	11.9	0.3
2022	20SGH001959	C10	OLA	5	187	25.2	0.3
2022	20SGH001965	C10	OLA	5	189	2	0
2022	20SGH000860	C10	OLA	5	190	10.8	0.5
2022	20SGH001173	C10	OLA	5	191	5.3	0.5
2022	20SGH002190	C10	OLA	5	192	0.4	0
2022	20SGH002537	C10	OLA	5	194	0	0
2022	NA	C10	OLA	5	196	14	1.3
2022	20SGH000267	C10	OLA	5	197	20.7	0
2022	20SGH002698	C10	OLA	5	198	9.7	0
2022	20SGH002304	C10	OLA	5	199	4.7	0
2022	20SGH001856	C10	OLA	5	200	42.1	0
2022	19SGH002633	C10	OLA	5	201	2.3	0
2022	NA	C10	OLA	5	202	16.8	7.5
2022	20SGH002180	C10	OLA	5	203	19.8	0.2
2022	20SGH002020	C10	OLA	5	204	24.3	1
2022	19SGH002695	C10	OLA	5	205	5.6	0.1
2022	20SGH002461	C10	OLA	5	206	3.8	0.2
2022	20SGH002540	C10	OLA	5	207	23.5	0.8
2022	20SGH003501	C10	OLA	5	208	16.5	0.2
2022	20SGH002036	C10	OLA	5	209	26.2	0
2022	20SGH002571	C10	OLA	5	210	7.8	0
2022	20SGH000382	C10	OLA	5	211	9.1	0.7
2022	20SGH001707	C10	OLA	5	212	8.6	0.4
2022	20SGH000535	C10	OLA	5	213	12.4	0.4
2022	20SGH001774	C10	OLA	5	214	6.1	0
2022	20SGH000744	C10	OLA	5	215	18.4	0
2022	NA	C10	OLA	5	216	1.5	0
2022	20SGH000780	C10	OLA	5	217	35.5	1.3
2022	19SGH002695	C10	OLA	5	219	2.5	0
2022	20SGH001831	C10	OLA	5	220	20.2	0
2022	20SGH000855	C10	OLA	5	221	13.6	0.2
2022	20SGH003829	C10	OLA	5	222	37.1	1.5
2022	20SGH003862	C10	OLA	5	223	12.8	0
2022	20SGH002791	C10	OLA	5	224	20.9	2.6
2022	20SGH002506	C10	OLA	5	225	9.7	0.4
2022	NA	C10	OLA	5	226	3.9	0
2022	20SGH002941	C10	OLA	5	227	8.2	0
2022	19SGH003237	C10	OLA	5	228	8.5	0.3
2022	20SGH002314	C10	OLA	5	229	10.3	0
2022	20SGH000349	C10	OLA	5	230	8.2	0.2
2022	NA	C10	OLA	5	231	17.1	4.8
2022	20SGH001541	C10	OLA	5	232	0.9	0
2022	20SGH002701	C10	OLA	5	233	10.1	0
2022	20SGH001235	C10	OLA	5	234	3.2	0.5
